なつころも,かとりのうらの,うたたねに,なみのよるよる,かよふあきかせ
なつころも,かさぬはかりに,すすしきは,むすふいつみに,あきやまつらむ
せきいるる,にはのしみつは,それなから,あきをこころに,まかせやはせぬ
ゆふくれの,このしたかせに,あめすきて,つゆもたまらぬ,せみのはころも
しはしたに,たえまもなきは,なつやまの,こすゑにつつく,せみのもろこゑ
をちこちの,こすゑにせみの,こゑはして,やまちすすしき,まつのしたかせ
しけりあふ,のきはのこすゑ,あけたては,せみのをりはへ,なかぬひもなし
みそきする,よはのかはなみ,おとふけて,あけぬよりふく,そてのあきかせ
わきてまた,すすしかりけり,みたらしや,みそきにふくる,よはのかはかせ
そこきよき,かはせのみつの,あさのはに,しらゆふかけて,みそきをそする
みなかみに,あきやたつらむ,みそきかは,またよひなから,かせのすすしき
みそきかは,せせのたまもの,みかくれて,しられぬあきや,こよひたつらむ
いつしかと,かたしくそてに,おくつゆの,たまくらすすし,あきのはつかせ
けさみれは,つゆそひまなき,あしのやの,こやのひとよに,あきやきぬらむ
きのふより,をきのしたはに,かよひきて,けさあらはるる,あきのはつかせ
いつのまに,あきかせたちて,おほともの,みつのはままつ,おとまさるらむ
あまのかは,みつかけくさの,いくあきか,かれなてとしの,ひとよまつらむ
たなはたの,ふなのりすらし,あまのかは,きよきつきよに,くもたちわたる
ひこほしと,たなはたつめと,こよひあふ,あまのかはらに,なみたつなゆめ
あまのかは,わたりてのちそ,たなはたの,ふかきこころも,おもひしるらむ
あまのかは,たえしとそおもふ,たなはたの,おなしくもゐに,あはむかきりは
ほしあひの,そらのひかりと,なるものは,くもゐのにはに,てらすともしひ
たなはたの,つゆのちきりの,たまかつら,いくあきかけて,むすひおくらむ
つゆおきて,なかむるほとを,おもひやれ,あまのかはらの,あかつきのそら
あけゆけは,かはせのなみの,たちかへり,またそてぬらす,あまのはころも
たなはたの,くものころもを,ふくかせに,そてのわかれは,たちもとまらす
ちきりありて,おなしふつきの,かすそはは,こよひもわたせ,あまのかはふね
あさつゆの,をかのかやはら,やまかせに,みたれてものは,あきそかなしき
わするなよ,けふはむかしの,あきまても,このゆふくれの,をきのうはかせ
いくかへり,なれてもかなし,をきはらや,すゑこすかせの,あきのゆふくれ
さひしさに,あきのあはれを,そへてけり,あれたるやとの,をきのうはかせ
わかそては,をきのうははの,なになれや,そよめくからに,つゆこほるらむ
をきのはに,おけるしらつゆ,たまかとて,そてにつつめは,たまらさりけり
わきてなほ,ゆふへはつゆの,をきのはに,なみたもそよと,あきかせそふく
ふきむすふ,をきのはわけに,ちるつゆを,そてまてさそふ,あきのゆふかせ
ゆふされは,のへのあさちに,ふくかせの,いろこそみえね,つゆそこほるる
むらさめの,のわきのつゆの,たますたれ,そてもふきまく,あきのゆふかせ
むらさめに,きりのはおつる,にはのおもの,ゆふへのあきを,とふひともかな
やとことの,ゆふくれとはむ,あきといへは,われにかきらす,ものやおもふと
さひしさを,かねてならはぬ,やとならは,あきのゆふへを,いかてしのはむ
いまさらに,なにかうしとも,わきていはむ,おもひのみそふ,あきのゆふくれ
ものおもはぬ,ひとはよそにや,なかむらむ,うきみひとつの,あきのゆふくれ
いかにせむ,ものおもふそての,なみたたに,ほさてつゆそふ,あきのゆふくれ
