かねのおとも,あけはなれゆく,やまのはの,きりにのこれる,ありあけのつき
やまとほき,かとたのすゑは,きりはれて,ほなみにしつむ,ありあけのつき
あきのたの,ほむけかたより,ふくかせに,やまもとみえて,はるるゆふきり
ゆふひさす,かとたのあきの,いなむしろ,わさほかりしき,いまやほすらむ
つゆしもの,おくてのいなは,いろつきて,かりいほさむき,あきのやまかせ
をやまたの,いほもるしつか,ころもては,つゆもよすから,おきあかしけり
さらしなの,やまのあらしも,こゑすみて,きそのあさきぬ,つきにうつなり
かへるへき,こしのたひひと,まちわひて,みやこのつきに,ころもうつなり
おきあかす,つゆさへさむき,つきかけに,なれていくよか,ころもうつらむ
あきかせの,みにしみそむる,さとひとや,まつおとつれて,ころもうつらむ
なへてふく,しつかささやの,あきかせを,おのかよさむと,うつころもかな
なみよする,みつのはまへの,うらかせに,こよひもさむく,ころもうつなり
うらかせや,なほさむからし,なにはひと,あしひたくやに,ころもうつなり
ころもうつ,おとそよふかく,きこゆなる,とほさとをのの,かせのたよりに
あきはきの,うつろふのへの,かりいほに,たれいねかての,ころもうつらむ
いかにせむ,ぬれぬやとかす,ひともなき,かたののみのの,あきのむらさめ
うらかるる,あしのすゑはに,かせすきて,いりえをわたる,あきのむらさめ
さをしかの,ふすやくさむら,うらかれて,したもあらはに,あきかせそふく
みしまのの,あさちかうはは,あきかせに,いろつきぬやと,うつらなくらむ
あかすみし,はなのさかりは,はやすきて,したはかれゆく,にはのあきはき
あきかせに,ほすゑなみよる,かるかやの,したはにむしの,こゑよわるなり
むしのねも,かれかれになる,なかつきの,あさちかすゑの,つゆのさむけさ
くさのはら,はつしもまよふ,つきかけを,よさむになして,むしやなくらむ
くみてこそ,ちとせもかねて,しられけれ,ぬれてほすてふ,きくのしたみつ
つゆしもの,おきあへぬまに,そめてけり,はやまかすその,あきのもみちは
おくつゆや,そめはしむらむ,あきやまの,しくれもまたぬ,みねのもみちは
あらしやま,けふのためとや,もみちはの,しくれもまたて,いろにいつらむ
ふきしをる,うへやまかせの,あらしやま,またきこのはの,いろそしくるる
しくれゆく,くものよそなる,もみちはも,ゆふひにそむる,かつらきのやま
もみちはに,よそのひかけは,のこれとも,しくれにくるる,あきのやまもと
ゆふつくひ,うつろふそらの,くもまより,ひかりさしそふ,みねのもみちは
たつたひめ,いまやこすゑの,からにしき,おりはへあきの,いろそしくるる
たつたやま,このはいろつく,ほとはかり,しくれにそはぬ,あきかせもかな
しくれふる,いくたのもりの,もみちはは,とはれむとてや,いろまさるらむ
みむろやま,あきのこのはの,いくかへり,したくさかけて,なほしくるらむ
もみちはを,いまひとしほと,ことつてむ,しくるるくもの,すゑのやまかせ
もるやまも,このしたまてそ,しくるなる,わかそてのこせ,のきのもみちは
えたかはす,よそのもみちに,うつもれて,あきはまれなる,やまのときはき
