けふにあけて,きのふににぬは,みなひとの,こころにはるの,たちにけらしも
われもひとも,うらみたちぬる,なかなれは,いまはさこそと,あはれなるかな
よしさらは,うらみはてなむと,おもふきはに,ひころおほえぬ,あはれさそそふ
かくはかり,うきかうへたに,あはれなり,あはれなりせは,いかかあらまし
あはれにも,こととほくのみ,なりゆくよ,ひとのうけれは,われもうらみて
ことのはに,いてしうらみは,つきはてて,こころにこむる,うさになりぬる
たえすたた,うきたひことに,うらみやらむ,けにもとおもふ,をりもこそあれ
これもまた,なさけみるよに,なりやせむ,ちきりしすゑも,まことならねは
さてもたた,おもひならひし,あはれにて,つらさはやすく,よわりゆくかな
ひころより,うきをもうしと,えそいはぬ,けにおもはすも,なるかとおもふに
いまさらに,いかなるこまか,なつくへき,すさへぬくさと,のかれにしみを
あれにける,やとののきはの,わすれくさ,かくしけれとは,ちきらさりしを
いのちたに,こころなりせは,ひとつらく,ひとうらめしき,よにへましやは
いさやまた,こひにしぬてふ,こともなし,われをやのちの,ためしにはせむ
よわりはつる,いまはのきはの,おもひには,うさもあはれに,なるにそありける
いくたひの,いのちにむかふ,なけきして,うきはてしらぬ,よをつくすらむ
こひしのひ,さのみしたはて,いまはたた,われもわするる,こころともかな
おもひこめて,さてはおかれぬ,こころなれは,もしやとひとを,うらみてそみる
さのみかく,なにかはしたふ,やすくこそ,ひとはわすれし,なかのちきりを
つらからは,したはしとこそ,おもひしか,われさへかはる,こころなりけり
くりかへし,おもふこころは,ありなから,かひなきものは,しつのをたまき
うきにかく,こひしさまさる,ものならは,いさつらからむ,いかかおもふと
かならすも,うらみてのちは,くやしきを,おもひあまれは,またいはれぬる
つらさをも,しのひすくさて,おもひとりし,うらみそたゆる,はしめなりける
あらはもし,たのみもいつそ,うさをのみ,みきくいのちの,はてそかなしき
またすなる,いくゆふくれに,なかめたへて,つれなのみやと,さらにしそおもふ
たへすならむ,みをさへかけて,かなしきは,つらさをかきる,いまのゆふくれ
ねにたかく,なきそしぬへき,うつせみの,わかみからなる,うきよとおもへは
うらむへき,かたさへそなき,うきことの,つきひにそへて,みえしまされは
いまもおもふ,のちもわすれし,かりこもの,みたれてのちそ,われこひまさる
いかならむ,かみにぬさをも,たむけはか,わかおもふいもを,ゆめにたにみむ
つらけれは,かくてやみなむと,おもへとも,ものわすれせぬ,こひにもあるかな
おもへとも,ひかけのいとの,くりかへし,たえにしふしの,つらくもあるかな
おもひとる,みにはいまはの,うらみなる,およはぬうへの,なくさめもうし
ちきりしも,さのみはひとの,わすれしを,おもひなからや,とはすなるらむ
そのころは,たのますききし,ことのはも,うきいまならは,なさけならまし
さりともと,おもふたのみも,ほとすきぬ,みしやなさけの,かきりなりけむ
うしとおもひ,こひしとおもふ,そのあたり,きかしやいまは,みをなきにして
あれはある,いのちもさすか,かきりあれや,またひときはの,おもひそふころ
あふことは,またおのつから,ありとても,たのみしもとの,ここちやはせむ
さてやさは,こえにしものを,いまさらに,またはなこその,せきもりそうき
うきよりも,わすれかたきは,つらからて,たたにたえにし,なかにそありける
ひともうく,みもうきはての,わかみをは,たたおなしよに,おかしとそおもふ
なほいかに,おもふこころそ,かきりなく,うきためしをは,みはててしみを
こころつきし,よひあかつきの,かねのおとも,またすわかれて,きくしもそうき
よとともに,おもかけにのみ,たちなから,またみえしとは,なとおもふらむ
よそならは,さてもやみなむ,うきものは,なれてもつらき,ちきりなりけり
なほさりの,ちきりはかりに,なからへて,はかなくなにを,たのむいのちそ
せめてさらは,いまひとたひの,ちきりありて,いははやつもる,こひもうらみも
あさゆふは,わすれぬままに,みにそへと,こころをかたる,おもかけもなし
ありしよの,こころなからに,こひかへし,いははやそれに,いままてのみを
いきてよに,うきをみはてむ,ためなれや,いとふいのちの,せめてひさしき
いとはれし,いのちのはての,きはになりて,ありてやもしと,またおほえける
ありとても,あふよもしらぬ,いのちをは,なにのたのみに,なほをしむらむ
ふたつある,こころをわれも,もたりけり,うしとおもふに,さてもわすれぬ
ききもせす,われもきかれし,いまはたた,ひとりひとりか,よになくもかな
つらさをも,えこそうらみね,かすならぬ,みをなけけとや,いはむとおもへは
かよひける,こころのほとは,よをかさね,みゆらむゆめに,おもひあはせよ
けにもその,こころのほとや,みえくらむ,ゆめにもつらき,けしきなりつる
それとたに,わすれやすらむ,いまさらに,かよふこころは,ゆめにみゆとも
こほれおちし,ひとのなみたを,かきつめて,われもしをりし,よはそわすれぬ
おのつから,しはしはかかる,なさけもやと,こころにまちし,ほともすきぬる
おなしよの,ちきりをなほも,まちかほに,あらしやとても,あるそつれなき
たえはてて,またあふことの,たのみたに,いまはなくなく,みをそうらむる
わひぬれは,うしつらしとも,いまはいはし,なさけはかりを,かけよとそおもふ
なかなかに,むかしのゆめの,ままならて,おとろかしけむ,ことそくやしき
ゆふされは,ものおもひまさる,みしひとの,こととひしさま,おもかけにして
あひみねと,わすれぬひとは,つねよりも,つねなきをりそ,こひしかりける
そのままに,そはましみまし,いたつらに,をしやあはれや,よそのとしつき
うきをしる,こころのほとも,みゆやとて,われもかきたえ,すくすころかな
うきをしたふ,こころなかさを,またひとに,おもひくらへて,あはれとをしれ
たえはてし,そのとしつきに,なからへて,しひてさてもと,いふもつれなし
つらかれな,さらはこひしき,こころにも,うらむるかたは,ありもしなまし
うけれとも,わかみつからの,なみたこそ,あはれたえせぬ,ものにはありけれ
うらみても,こひしきかたや,まさるらむ,つらさはよわる,ものにそありける
つらきあまり,うしともいはて,すくすひを,うらみぬにこそ,おもひはてぬれ
なみたこそ,わかこころにも,したかはね,うきをうらみぬ,そてのぬれゆく
なみたこほれ,こころみたれて,いはれぬに,うらみのそこそ,いととくるしき
たのむへき,かたもなけれは,おなしよに,あるはあるそと,おもひてそふる
みのうきに,おもひあまりの,はてはては,おやさへつらき,ものにそありける
をしからぬ,いのちもいまは,なからへて,おなしよをたに,わかれすもかな
